ID,Address,BuildingName,Street_Nbr,Street,VHR,Designation,Zoning,LocalArea,Land_Coord,HRA_HCC,Latitude,Longitude
36,455 W 13TH AV,,455,W 13TH AV,A,,RT-6                ,MOUNT PLEASANT      ,68317041,,49.2596898329252,-123.114121436889
37,1122 COMOX ST,,1122,COMOX ST,A,,RM-5B               ,WEST END            ,60711872,,49.2819866854533,-123.130023253044
38,900 W 15TH AV,,900,W 15TH AV,B,,RM-4                ,FAIRVIEW            ,68815094,,49.2575861232354,-123.124645267229
39,6821 LAUREL ST,DODEK HOUSE       ,6821,LAUREL ST,A,MI,RS-1                ,OAKRIDGE            ,15379513,,49.2235376913745,-123.125731020472
40,3846 W 10TH AV,,3846,W 10TH AV,A,M,RS-1                ,WEST POINT GREY     ,67003460,,49.263241728412,-123.189260275146
41,1150 STATION ST,CNR STN/BUS TERML ,1150,STATION ST,A,MF,I-3                 ,STRATHCONA          ,19260576,,49.2737669456772,-123.097968780581
42,844 DUNLEVY AV,WINCHCOMBE HOUSE  ,844,DUNLEVY AV,B,M,RT-3                ,STRATHCONA          ,60019405,,49.2768534800132,-123.095391326565
43,56 POWELL ST,,56,POWELL ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017866,,49.2830884714358,-123.102907379533
44,1973 W 1ST AV,,1973,W 1ST AV,C,,RM-4                ,KITSILANO           ,63409527,,49.2709357062371,-123.149552392126
45,332 WATER ST,,332,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58013844,,49.2842451617156,-123.109574932675
46,1150 HARO ST,,1150,HARO ST,B,,RM-5B               ,WEST END            ,60311836,,49.2844610862535,-123.127359070161
47,577 RICHARDS ST,HOTEL ST CLAIR    ,577,RICHARDS ST,B,M,DD                  ,CENTRL BUSNES/DWNTWN,13859273,,49.2827599200494,-123.114399325619
48,1966 WILLIAM ST,,1966,WILLIAM ST,C,,RT-4                ,GRANDVIEW-WOODLAND  ,60625442,,49.2735796954453,-123.064120944637
49,2221 STEPHENS ST,,2221,STEPHENS ST,B,,RT-8                ,KITSILANO           ,07264341,,49.2662259127384,-123.166766830525
50,3522 W 1ST AV,,3522,W 1ST AV,B,,RT-8                ,KITSILANO           ,63404176,,49.2709826786577,-123.18223781273
51,2025 W 16TH AV,,2025,W 16TH AV,B,,RT-8                ,KITSILANO           ,69009179,,49.2575217640465,-123.151349413234
52,1825 W 16TH AV,,1825,W 16TH AV,,,RT-8                ,KITSILANO           ,69009781,H,49.2574654569105,-123.146865434852
53,879 E GEORGIA ST,RIDDICK HOUSE     ,879,E GEORGIA ST,B,,RT-3                ,STRATHCONA          ,59621279,,49.278557964081,-123.085538818146
54,110 E CORDOVA ST,,110,E CORDOVA ST,B,,HA-2                ,CENTRL BUSNES/DWNTWN,58918618,,49.2820587899771,-123.101804610754
55,2706 TRAFALGAR ST,KITSILANO SEC     ,2706,TRAFALGAR ST,B,,RS-7                ,KITSILANO           ,65407396,,49.2620810855084,-123.163600011698
56,80 POWELL ST,,80,POWELL ST,,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017886,,49.2829800513045,-123.102817875137
57,157 WATER ST,,157,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58015731,,49.2844423493311,-123.107959128215
58,3317 W 8TH AV,,3317,W 8TH AV,C,,RT-7                ,KITSILANO           ,64804575,,49.2653176656016,-123.17832073439
59,2110 MACDONALD ST,,2110,MACDONALD ST,B,,RT-8                ,KITSILANO           ,07064214,,49.2672472621236,-123.168047215092
60,2733 HEATHER ST,VGH-HEATHER PAVLN ,2733,HEATHER ST,B,M,CD-1                ,FAIRVIEW            ,67015995,H,49.2613089421416,-123.121155630672
61,2056 W 15TH AV,,2056,W 15TH AV,B,,RT-8                ,KITSILANO           ,68809042,,49.2579343145612,-123.152073380484
62,2048 PANDORA ST,,2048,PANDORA ST,B,,RM-3A               ,GRANDVIEW-WOODLAND  ,58725550,,49.2827593144134,-123.062412288286
63,2220 W 45TH AV,,2220,W 45TH AV,B,,RS-5                ,KERRISDALE          ,75807984,,49.2306471672539,-123.159028464109
64,88 E CORDOVA ST,,88,E CORDOVA ST,C,,HA-2                ,CENTRL BUSNES/DWNTWN,58917880,,49.2820731516301,-123.102642509017
65,1386 THURLOW ST,,1386,THURLOW ST,B,,RM-5A               ,WEST END            ,11961576,,49.2783294457639,-123.133911344205
66,616 PRINCESS AV,MCNAIR HOUSE      ,616,PRINCESS AV,C,M,RT-3                ,STRATHCONA          ,19859416,,49.2789877228133,-123.091349596703
67,737 PRIOR ST,J.MCDONALD HOUSE  ,737,PRIOR ST,C,M,RT-3                ,STRATHCONA          ,60020537,H,49.2768209094169,-123.088810808594
68,21 WATER ST,,21,WATER ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58017295,,49.2838316735512,-123.104617242429
69,140 W 10TH AV,,140,W 10TH AV,A,M,RT-6                ,MOUNT PLEASANT      ,65417940,,49.2618715952744,-123.10819265602
70,726 W 15TH AV,,726,W 15TH AV,B,,RM-4                ,FAIRVIEW            ,68815972,,49.2575143221433,-123.120732941204
71,3345 COLLINGWOOD ST,EVANS HOUSE       ,3345,COLLINGWOOD ST,C,M,RS-5                ,DUNBAR-SOUTHLANDS   ,4269155,H,49.2569990044398,-123.182129373695
72,112 E 46TH AV,,112,E 46TH AV,B,,RS-1                ,SUNSET              ,76118812,,49.2282288763663,-123.10335921439
73,3430 OSLER ST,,3430,OSLER ST,B,,FSD                 ,SHAUGHNESSY         ,14869868,,49.2551328666429,-123.13129623036
74,204 CARRALL ST,,204,CARRALL ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,17858024,,49.2829892171247,-123.103934243576
75,1140 W 7TH AV,,1140,W 7TH AV,C,,FM-1                ,FAIRVIEW            ,64614662,,49.264953565382,-123.129979728998
76,2071 KITCHENER ST,,2071,KITCHENER ST,B,,RT-4                ,GRANDVIEW-WOODLAND  ,61125571,,49.2722648017493,-123.0621859138
77,28 W PENDER ST,,28,W PENDER ST,,M,CD-1                ,CENTRL BUSNES/DWNTWN,59217530,,49.2804759029582,-123.105412264749
78,918 GRANVILLE ST,VOGUE THEATRE     ,918,GRANVILLE ST,A,F,DD                  ,CENTRL BUSNES/DWNTWN,13060430,,49.2798240955672,-123.12155804455
79,563 E PENDER ST,,563,E PENDER ST,B,,RT-3                ,STRATHCONA          ,59219663,,49.280494062202,-123.092044161882
80,1113 THURLOW ST,,1113,THURLOW ST,B,,RM-5B               ,WEST END            ,11960787,,49.2813529103771,-123.130096741862
81,5025 CONNAUGHT DRIVE,,5025,CONNAUGHT DRIVE,,L,RS-5                ,SHAUGHNESSY         ,12573503,,49.2407294310775,-123.142770620248
82,1916 STEPHENS ST,,1916,STEPHENS ST,C,,RT-8                ,KITSILANO           ,07263834,,49.2689036019921,-123.166006706437
83,2620 W 1ST AV,,2620,W 1ST AV,B,,RT-8                ,KITSILANO           ,63407276,,49.2707092826401,-123.165189192589
84,3818 W 23RD AV,,3818,W 23RD AV,B,,RS-5                ,DUNBAR-SOUTHLANDS   ,70603480,,49.2517061649884,-123.188700996677
85,1046 COMMERCIAL DRIVE,,1046,COMMERCIAL DRIVE,B,,C-2C1               ,GRANDVIEW-WOODLAND  ,25060194,,49.2749718746189,-123.069153817012
86,224 W 14TH AV,,224,W 14TH AV,B,,RT-6                ,MOUNT PLEASANT      ,68417356,,49.2583872505894,-123.110252712706
87,1306 W 12TH AV,HUNTER HOUSE      ,1306,W 12TH AV,A,,RM-3                ,FAIRVIEW            ,67013494,,49.2604039382181,-123.134099449009
88,2650 W 5TH AV,STRAIGHT HOUSE    ,2650,W 5TH AV,C,M,RT-8                ,KITSILANO           ,64207234,,49.2671828412665,-123.165647024767
89,1828 E 8TH AV,,1828,E 8TH AV,B,,RT-5                ,GRANDVIEW-WOODLAND  ,64825128,,49.2629082944141,-123.067258369997
90,808 DUNLEVY AV,,808,DUNLEVY AV,C,,RT-3                ,STRATHCONA          ,19459812,,49.2773586178012,-123.095320822589
91,4710 SLOCAN ST,NORQUAY ELEMENTARY,4710,SLOCAN ST,B,,RS-1                ,RENFREW-COLLINGWOOD ,27572394,,49.2414965235759,-123.051128459149
92,521 HAWKS AV,,521,HAWKS AV,B,,RT-3                ,STRATHCONA          ,21259245,,49.2799352823564,-123.087410396511
93,2640 OXFORD ST,,2640,OXFORD ST,C,M,RS-1                ,HASTINGS-SUNRISE    ,57727434,,49.285421728291,-123.051001413845
94,857 BEATTY ST,,857,BEATTY ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,16060255,,49.2771246108851,-123.115105125624
95,2629 ONTARIO ST,,2629,ONTARIO ST,B,,RT-6                ,MOUNT PLEASANT      ,18465455,,49.2615540655065,-123.105230653933
96,685 W 19TH AV,,685,W 19TH AV,B,,RS-7                ,SOUTH CAMBIE        ,69416331,,49.2545268683243,-123.119571813119
97,2820 FRASER ST,,2820,FRASER ST,B,,RT-5                ,MOUNT PLEASANT      ,21067020,,49.2591610348724,-123.08884232229
98,601 W CORDOVA ST,CPR STATION       ,601,W CORDOVA ST,A,M,DD                  ,CENTRL BUSNES/DWNTWN,56113848,,49.2855753024676,-123.111518282345
99,407 E KING EDWARD AV,,407,E KING EDWARD AV,B,,RS-1                ,RILEY PARK          ,71019713,,49.2488955475631,-123.09633748772
100,868 GRANVILLE ST,COMMODORE BALLROOM,868,GRANVILLE ST,A,,DD                  ,CENTRL BUSNES/DWNTWN,13060256,,49.2806800137699,-123.120260173101
101,2760 YALE ST,HEAPS HOUSE       ,2760,YALE ST,B,,RS-1                ,HASTINGS-SUNRISE    ,56627546,,49.2903997157796,-123.047934612312
102,518 E CORDOVA ST,CARLSON HOUSE     ,518,E CORDOVA ST,C,,DEOD                ,STRATHCONA          ,58919618,,49.2818948198596,-123.092907665296
103,2804 GRAVELEY ST,,2804,GRAVELEY ST,B,,RS-1                ,HASTINGS-SUNRISE    ,61627702,,49.2701646386059,-123.046730116276
104,3030 ONTARIO ST,,3030,ONTARIO ST,C,,RM-4                ,MOUNT PLEASANT      ,18468436,,49.2579492173138,-123.104774265467
105,2822 W 41ST AV,THE DOROTHIES     ,2822,W 41ST AV,B,M,RS-5                ,KERRISDALE          ,75005884,H,49.234431828663,-123.168033264383
106,977 W 8TH AV,TAYLOR HOUSE      ,977,W 8TH AV,B,M,FM-1                ,FAIRVIEW            ,64815017,H,49.2645347449781,-123.126086587152
107,1417 E 11TH AV,,1417,E 11TH AV,B,,RT-5                ,KENSINGTON-CEDAR COT,66523017,,49.2607611433548,-123.075257521912
108,1076 CARDERO ST,,1076,CARDERO ST,B,,RM-5                ,WEST END            ,11460746,,49.2862475319777,-123.136730589012
109,450 HEATLEY AV,,450,HEATLEY AV,B,,RT-3                ,STRATHCONA          ,59220505,,49.280353225545,-123.089303380699
110,6485 BALACLAVA ST,,6485,BALACLAVA ST,,,RA-1                ,KERRISDALE          ,5476995,H,49.2276465974456,-123.176278920147
111,855 E 19TH AV,KUFNER HOUSE      ,855,E 19TH AV,C,,RS-1                ,KENSINGTON-CEDAR COT,69421255,,49.253910774994,-123.086307985117
112,3028 W 5TH AV,,3028,W 5TH AV,B,,RT-7                ,KITSILANO           ,64205846,,49.2673064754992,-123.172648925369
113,3409 ARBUTUS ST,CURRY RESIDENCE   ,3409,ARBUTUS ST,B,M,RS-1                ,ARBUTUS RIDGE       ,9069207,H,49.2560339102385,-123.153293636153
114,1423 E 11TH AV,,1423,E 11TH AV,B,,RT-5                ,KENSINGTON-CEDAR COT,66523023,,49.2607594315207,-123.075123516974
115,2922 W 3RD AV,,2922,W 3RD AV,B,,RT-8                ,KITSILANO           ,63806218,,49.2689540867722,-123.170531642402
116,662 E 7TH AV,,662,E 7TH AV,B,,RM-4                ,MOUNT PLEASANT      ,64620662,,49.2640659415147,-123.089588670893
117,1050 NICOLA ST,,1050,NICOLA ST,B,M,RM-5                ,WEST END            ,11560692,,49.2858650397143,-123.134993505371
118,296 W 17TH AV,,296,W 17TH AV,A,,RS-7                ,RILEY PARK          ,69117252,,49.2554920912411,-123.111101905369
119,1626 LAURIER AV,,1626,LAURIER AV,B,,FSD                 ,SHAUGHNESSY         ,70512278,,49.2505083926619,-123.14221819204
120,2765 W 42ND AV,,2765,W 42ND AV,C,,RS-5                ,KERRISDALE          ,75207027,,49.2340391903895,-123.166684412874
121,1116 BUTE ST,,1116,BUTE ST,B,,RM-5B               ,WEST END            ,11860788,,49.2825147915413,-123.131841894135
122,437 PRIOR ST,,437,PRIOR ST,B,,RT-3                ,STRATHCONA          ,60019437,,49.2769273077897,-123.094675195109
123,2033 E 2ND AV,,2033,E 2ND AV,A,,RT-4                ,GRANDVIEW-WOODLAND  ,63125535,,49.2688912524899,-123.062852468987
124,4389 W 3RD AV,,4389,W 3RD AV,B,,RS-1                ,WEST POINT GREY     ,63702615,,49.2704434377074,-123.20549774419
125,2837 W 3RD AV,,2837,W 3RD AV,C,,RT-8                ,KITSILANO           ,63806257,,49.2695387622698,-123.169212489365
126,2000 TRIMBLE ST,QUEEN MARY ELEM   ,2000,TRIMBLE ST,B,,RS-1                ,WEST POINT GREY     ,64002608,,49.2678244572015,-123.204986285954
127,3029 W 10TH AV,,3029,W 10TH AV,C,,RS-5                ,KITSILANO           ,67005861,,49.2635596528031,-123.172735996457
128,2508 W 1ST AV,,2508,W 1ST AV,B,,RT-8                ,KITSILANO           ,63407396,,49.270668143296,-123.162528183143
129,1195 W 16TH AV,,1195,W 16TH AV,B,,RT-2                ,FAIRVIEW            ,69014635,,49.2572983258792,-123.131411175116
130,347 W PENDER ST,,347,W PENDER ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59214805,,49.2827992314121,-123.111517365793
131,560 BEATTY ST,,560,BEATTY ST,C,,DD                  ,CENTRL BUSNES/DWNTWN,16059256,,49.2801415364825,-123.109558247001
132,2232 MACDONALD ST,,2232,MACDONALD ST,B,,RT-8                ,KITSILANO           ,07064370,,49.2660805208521,-123.168084502393
133,1463 E 10TH AV,,1463,E 10TH AV,C,,RT-5                ,KENSINGTON-CEDAR COT,65523063,,49.2616531858138,-123.074289797227
134,309 W 7TH AV,,309,W 7TH AV,C,,I-1                 ,MOUNT PLEASANT      ,64617185,,49.265037140882,-123.111235988381
135,180 E PENDER ST,,180,E PENDER ST,,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218676,,49.280144521818,-123.100576329378
136,55 E CORDOVA ST,KORET LOFTS       ,55,E CORDOVA ST,C,M,HA-2                ,CENTRL BUSNES/DWNTWN,58917893,H,49.282594480169,-123.102961461185
137,8370 CARTIER ST,LLOYD ELEMENTARY  ,8370,CARTIER ST,A,,RT-2                ,MARPOLE             ,82613508,,49.2102330630786,-123.136353610217
138,663 E 26TH AV,COEN HOUSE        ,663,E 26TH AV,B,,RS-1                ,RILEY PARK          ,71219979,,49.247883899949,-123.091091179722
139,632 UNION ST,,632,UNION ST,C,,RT-3                ,STRATHCONA          ,59819832,,49.2772363294632,-123.090853041785
140,1279 E 28TH AV,,1279,E 28TH AV,C,,RT-10               ,KENSINGTON-CEDAR COT,71722579,,49.2457081575178,-123.078548893188
141,1305 W 70TH AV,,1305,W 70TH AV,B,,RM-3A               ,MARPOLE             ,83013895,,49.2087962266727,-123.13472883174
142,26 E HASTINGS ST,,26,E HASTINGS ST,C,,DEOD                ,CENTRL BUSNES/DWNTWN,59017834,,49.281105338411,-123.103684814949
143,4243 W 12TH AV,,4243,W 12TH AV,B,,RS-1                ,WEST POINT GREY     ,67802751,,49.262129322887,-123.201370978954
144,1419 PENDRELL ST,,1419,PENDRELL ST,C,,RM-5                ,WEST END            ,60911577,,49.2848261103785,-123.135366690913
145,2744 DUNBAR ST,,2744,DUNBAR ST,C,,RS-5                ,KITSILANO           ,04167494,,49.261860479857,-123.183557859028
146,2026 E 33RD AV,,2026,E 33RD AV,C,,RS-1                ,KENSINGTON-CEDAR COT,73025026,,49.2395444838718,-123.064502403737
147,256 E 20TH AV,,256,E 20TH AV,B,,RS-7                ,RILEY PARK          ,69619056,,49.2526988431615,-123.099555666667
148,163 W HASTINGS ST,,163,W HASTINGS ST,B,M,HA-2                ,CENTRL BUSNES/DWNTWN,59015709,H,49.2826054258406,-123.109156859482
149,1851 HARO ST,,1851,HARO ST,C,,RM-5B               ,WEST END            ,60310947,,49.2914630787965,-123.137022962089
150,794 E 21ST AV,,794,E 21ST AV,C,,RS-1                ,KENSINGTON-CEDAR COT,69821094,,49.2516113414116,-123.087863241832
151,435 HELMCKEN ST,,435,HELMCKEN ST,C,M,DD                  ,CENTRL BUSNES/DWNTWN,60813837,H,49.2768176126047,-123.122142574943
152,2964 W 5TH AV,,2964,W 5TH AV,B,,RT-7                ,KITSILANO           ,64205886,,49.2672808641073,-123.171490586472
153,319 W HASTINGS ST,,319,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59014847,,49.2832171350201,-123.110084785774
154,2745 W 3RD AV,,2745,W 3RD AV,C,,RT-8                ,KITSILANO           ,63807039,,49.2695059489777,-123.167476801124
155,1856 W 13TH AV,,1856,W 13TH AV,C,,RT-8                ,KITSILANO           ,68309746,,49.2596974639411,-123.147206974185
156,650 RICHARDS ST,,650,RICHARDS ST,,M,DD                  ,CENTRL BUSNES/DWNTWN,13859550,,49.2816313268063,-123.114983700458
157,1606 E 15TH AV,BELL HOUSE        ,1606,E 15TH AV,B,,RT-5                ,KENSINGTON-CEDAR COT,68723756,,49.2561500568901,-123.070424753142
158,1826 BLANCA ST,HANNING HOUSE     ,1826,BLANCA ST,B,M,RS-1                ,WEST POINT GREY     ,2063602,H,49.2712046147597,-123.214619945013
159,410 W 12TH AV,,410,W 12TH AV,B,,RT-6                ,MOUNT PLEASANT      ,67017094,,49.260077265606,-123.113264200028
160,1245 W 8TH AV,,1245,W 8TH AV,B,,FM-1                ,FAIRVIEW            ,64813855,,49.2646458027586,-123.13220409044
161,818 SEMLIN DRIVE,,818,SEMLIN DRIVE,C,,RT-4                ,GRANDVIEW-WOODLAND  ,25559822,,49.2772339396604,-123.063413088012
162,6199 CYPRESS ST,MAPLE GROVE ELEM  ,6199,CYPRESS ST,B,,RS-6                ,KERRISDALE          ,75809298,,49.2298438903467,-123.150211174736
163,458 E 10TH AV,,458,E 10TH AV,C,,RT-5                ,MOUNT PLEASANT      ,65519858,,49.2612902370489,-123.093915115707
164,1995 W 16TH AV,,1995,W 16TH AV,B,,RT-8                ,KITSILANO           ,69009505,,49.2575109119578,-123.150512298033
165,2525 W 6TH AV,,2525,W 6TH AV,C,,RT-8                ,KITSILANO           ,64307377,,49.2668196529158,-123.162976319172
166,601 E PENDER ST,KEMP HOUSE (1908) ,601,E PENDER ST,C,M,RT-3                ,STRATHCONA          ,59219805,H,49.280434895446,-123.09127996209
167,2521 BALACLAVA ST,,2521,BALACLAVA ST,C,,RS-5                ,KITSILANO           ,05865065,,49.2636036763298,-123.174328465124
168,1055 W HASTINGS ST,GUINNESS TOWER    ,1055,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59011955,,49.2877342016388,-123.118192793095
169,1912 BLENHEIM ST,,1912,BLENHEIM ST,B,,RT-8                ,KITSILANO           ,05063846,,49.2690040634458,-123.177355708199
170,242 E HASTINGS ST,,242,E HASTINGS ST,C,,DEOD                ,STRATHCONA          ,59019044,,49.2809435334552,-123.098534169658
171,2525 W 2ND AV,,2525,W 2ND AV,B,,RT-8                ,KITSILANO           ,63607365,,49.2703006705846,-123.162848231354
172,430 E 12TH AV,,430,E 12TH AV,C,,RT-5                ,MOUNT PLEASANT      ,67019830,,49.2595481657625,-123.094637617743
173,6216 CHESTER ST,,6216,CHESTER ST,B,,RS-1                ,SUNSET              ,21175854,,49.2281124448511,-123.088938298123
174,325 W 12TH AV,,325,W 12TH AV,B,,RT-6                ,MOUNT PLEASANT      ,67017169,,49.2606115046766,-123.111714729198
175,1842 E 12TH AV,,1842,E 12TH AV,B,,RT-5AN              ,KENSINGTON-CEDAR COT,67025074,,49.2592546316145,-123.067007191689
176,2034 W 11TH AV,,2034,W 11TH AV,B,M,CD-1                ,KITSILANO           ,66409076,,49.2616487006271,-123.151887827231
177,2015 W 8TH AV,OBLATE HOUSE      ,2015,W 8TH AV,A,,RM-4                ,KITSILANO           ,09564695,,49.2648942891094,-123.150981754562
178,2590 W 2ND AV,,2590,W 2ND AV,B,,RT-8                ,KITSILANO           ,63607306,,49.2698629309414,-123.164174799321
179,1749 WATERLOO ST,MORRISON HOUSE    ,1749,WATERLOO ST,C,M,RT-8                ,KITSILANO           ,04563493,,49.2704699213237,-123.1799734918
180,4268 W 11TH AV,,4268,W 11TH AV,C,,RS-1                ,WEST POINT GREY     ,67402732,,49.2625282504058,-123.20203863318
181,1721 GRANT ST,,1721,GRANT ST,C,,C-2C                ,GRANDVIEW-WOODLAND  ,25061192,,49.2714231747553,-123.069196544132
182,2390 W 10TH AV,CONNAUGHT PARK    ,2390,W 10TH AV,A,M,RS-7                ,KITSILANO           ,67007705,,49.2620553429175,-123.160105616089
183,488 CARRALL ST,,488,CARRALL ST,C,M,HA-1                ,CENTRL BUSNES/DWNTWN,17859064,,49.2808091929228,-123.104071954716
184,124 E PENDER ST,,124,E PENDER ST,,M,HA-1                ,CENTRL BUSNES/DWNTWN,59218628,,49.2801708873938,-123.101624014429
185,5338 LARCH ST,,5338,LARCH ST,B,M,CD-1                ,ARBUTUS RIDGE       ,07773994,,49.2370977009167,-123.162237125746
186,112 W HASTINGS ST,,112,W HASTINGS ST,B,,DD                  ,CENTRL BUSNES/DWNTWN,59015782,,49.2818048028322,-123.107813673681
187,1147 PENDRELL ST,RALSTON HOUSE     ,1147,PENDRELL ST,B,,RM-5B               ,WEST END            ,60911839,,49.2820295930585,-123.131049894163
188,857 KEEFER ST,,857,KEEFER ST,B,,RT-3                ,STRATHCONA          ,59421257,,49.2794688952404,-123.085917144438
189,3290 GRANVILLE ST,,3290,GRANVILLE ST,A,,FSD                 ,SHAUGHNESSY         ,13069528,,49.2563574879772,-123.138234082478
190,1675 LAURIER AV,,1675,LAURIER AV,C,,FSD                 ,SHAUGHNESSY         ,70512237,,49.2511847094971,-123.143032952826
191,303 W 7TH AV,,303,W 7TH AV,C,,I-1                 ,MOUNT PLEASANT      ,64617195,,49.2650350263144,-123.111096471687
192,437 VERNON DRIVE,J. MCDEVITT HOUSE ,437,VERNON DRIVE,C,M,RT-3                ,STRATHCONA          ,22659089,H,49.2802551086999,-123.079457753057
