Customer_ID,City,Customer Lifetime Value,Age,Response,Coverage,Effective To Date,Employment_Status,Gender,Income,Location_Code,Marital Status,Monthly Premium Auto,Total Written Premium,Losses,Loss Ratio,Growth Rate,Commissions,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Number of previous policies,Policy_Type,Policy_Rating,Renew_Offer_Type,Sales_Channel,Total Claim Amount,Feedback,Job,Company,Credit Card Provider,Education
RJ76292,Kolkata,8015.38,28,Yes,Premium,06-06-2019,On leave,Male,219799,Suburban,Single,78,29294,7379,0.368,-1.123,4501,42,9,2,5,18,Corporate,Average,Offer 2,Online,60366.155,Satisfactory,Retail manager,Ford PLC,VISA 19 digit,Master
RL76122,Bhopal,8582.72,50,No,Extended,27-08-2018,Retired,Male,223177,Rural,Widowed,54,35756,6841,0.319,3.42,4781,6,85,0,1,12,Privileged,Excellent,Offer 3,Call Center,12105.842,Not Given,Radio broadcast assistant,May and Adams,VISA 13 digit,Grade XII
RQ89809,Mumbai,9591.09,45,Yes,Extended,29-08-2020,On leave,Female,390036,Urban,Widowed,102,24407,913,0.314,-8.033,4614,0,41,2,8,18,Special,Bad,Offer 3,Call Center,38601.697,Satisfactory,Probation officer,Austin-Lloyd,VISA 16 digit,Diploma
RV60452,Mumbai,6182.03,37,No,Basic,28-06-2019,On leave,Female,414816,Rural,Widowed,164,45393,9340,0.711,-6.94,9575,23,28,1,9,14,Corporate,Average,Offer 1,Online,51031.386,Satisfactory,Research scientist (medical),Estes-Bartlett,JCB 16 digit,Grade X
SE19789,Pune,5499.86,38,No,Premium,17-07-2018,Unemployed,Male,10917,Rural,Single,61,8195,4445,0.761,-7.557,4431,41,86,1,2,7,Corporate,Average,Offer 3,Other,40811.76,Not Given,Charity officer,Mclaughlin LLC,JCB 16 digit,Master
TH26029,Kolkata,2185.65,39,Yes,Basic,04-04-2019,Retired,Female,400326,Urban,Single,195,12014,6467,0.581,-8.401,114,5,56,0,6,7,Privileged,Average,Offer 2,Agent,51122.792,Bad,Newspaper journalist,Williams-Mcdowell,VISA 13 digit,Graduate
TR19602,Kolkata,4901.48,32,Yes,Basic,12-05-2019,On leave,Male,308412,Rural,Divorced,26,32751,3744,0.182,4.478,8519,34,67,2,5,16,Special,Bad,Offer 2,Branch,91028.68,Bad,Clinical molecular geneticist,Johnson and Clay,Discover,Diploma
TR39704,Bengaluru,8760.57,32,No,Basic,18-04-2020,Employed,Male,459772,Suburban,Widowed,26,44326,1981,0.194,1.095,4819,22,17,2,0,13,Privileged,Average,Offer 1,Online,76694.859,Satisfactory,Museum education officer,Fernandez and Sims,Diners Club / Carte Blanche,PhD
VG39456,Pune,5203.53,37,Yes,Basic,15-02-2019,Unemployed,Female,487052,Urban,Married,199,23743,7379,0.612,-0.985,7288,32,43,0,9,11,Personal,Average,Offer 3,Other,96664.58,Not Given,Set designer,Phillips-Raymond,Discover,Master
ZG25237,Bhopal,3796.59,48,Yes,Extended,01-03-2020,On leave,Male,344255,Rural,Married,206,31501,7236,0.054,0.796,3476,17,31,0,9,7,Corporate,Average,Offer 2,Online,77997.303,Good,Purchasing manager,Carrillo-Martin,JCB 15 digit,Grade X
ZI28471,Chennai,8914.55,33,Yes,Basic,10-01-2020,On leave,Female,483906,Rural,Married,247,27764,6665,0.046,-1.916,4461,29,85,2,6,13,Corporate,Good,Offer 1,Agent,93767.46,Excellent,Sub,Powers PLC,Maestro,PhD
AH14724,Delhi,2417.04,49,No,Basic,29-06-2018,Retired,Male,203503,Suburban,Single,121,38472,3984,0.39,4.98,4632,41,24,1,1,4,Corporate,Good,Offer 4,Agent,56524.234,Bad,Sales professional,Baker Group,VISA 16 digit,PhD
BA47724,Indore,9294.75,31,Yes,Extended,31-08-2019,Employed,Female,112000,Suburban,Married,167,16647,8983,0.867,7.306,7420,37,68,2,7,16,Special,Excellent,Offer 3,Other,45949.397,Not Given,Immunologist,Hudson and Wheeler,JCB 15 digit,Grade XII
BM35463,Delhi,5349.22,45,Yes,Extended,10-11-2018,On leave,Female,405141,Urban,Single,216,12932,7412,0.1,-8.525,9501,3,67,0,9,6,Personal,Average,Offer 4,Call Center,78177.431,Average,Sports coach,Herrera PLC,Discover,PhD
CI34370,Indore,8272.06,48,No,Basic,12-04-2020,Retired,Female,323361,Rural,Married,162,49870,4231,0.501,-5.121,1638,15,26,0,7,4,Corporate,Excellent,Offer 4,Other,62773.15,Good,Barrister,Robinson Group,VISA 16 digit,Graduate
CQ44212,Kolkata,6736.69,34,Yes,Premium,29-03-2019,Employed,Female,441582,Urban,Married,116,39021,3358,0.768,-0.483,8630,34,38,0,0,3,Special,Average,Offer 3,Other,51672.287,Excellent,Software engineer,Logan PLC,JCB 16 digit,PhD
CX37030,Hyderabad,8865.38,30,Yes,Basic,20-06-2020,Retired,Female,380963,Suburban,Widowed,74,28199,7796,0.115,4.581,1482,26,39,0,7,9,Special,Average,Offer 3,Agent,55262.16,Bad,Doctor,Thompson-Espinoza,American Express,Grade X
DF84217,Bengaluru,9562.77,47,No,Premium,13-10-2020,Employed,Female,368444,Rural,Divorced,189,20867,8963,0.958,-6.875,5123,27,70,1,2,7,Privileged,Good,Offer 2,Branch,86196.095,Bad,Field seismologist,Carpenter and Lucas,Maestro,PhD
EB41126,Bhopal,4816.59,40,Yes,Basic,17-03-2020,Employed,Male,491946,Suburban,Married,140,33594,952,0.248,-5.113,8011,42,59,1,5,17,Privileged,Average,Offer 1,Agent,87818.048,Average,Copywriter,Richardson Ltd,VISA 13 digit,Master
ES23673,Mumbai,4160.85,29,No,Premium,28-06-2020,Unemployed,Female,158742,Urban,Single,47,47359,8916,0.108,5.393,952,41,8,2,2,12,Special,Bad,Offer 4,Agent,87047.834,Good,Geologist,Hernandez and Holmes,American Express,Grade XII
ET22907,Kolkata,4707.86,31,No,Extended,27-11-2018,Retired,Female,422571,Suburban,Married,195,33547,8559,0.447,7.586,2857,42,94,2,8,16,Corporate,Excellent,Offer 2,Branch,65681.164,Bad,Health physicist,Kim-Garcia,VISA 16 digit,Graduate
GS46536,Delhi,8536.49,30,Yes,Premium,02-05-2020,Retired,Female,481746,Suburban,Widowed,129,34038,3915,0.108,5.223,1249,11,3,2,5,14,Corporate,Excellent,Offer 4,Call Center,81648.02,Satisfactory,Contractor,Coffey and Sons,JCB 16 digit,Master
GY32790,Bhopal,1260.29,44,No,Basic,21-07-2020,Employed,Female,463745,Urban,Divorced,149,35499,2391,0.436,6.415,2625,24,96,1,1,15,Personal,Bad,Offer 4,Other,94766.756,Good,Teaching laboratory technician,Gallagher-Campbell,JCB 15 digit,Grade X
HM49536,Kolkata,8644.52,32,Yes,Basic,06-07-2018,Employed,Female,372574,Suburban,Single,146,47985,8366,0.505,2.539,6034,40,15,0,0,8,Privileged,Bad,Offer 1,Agent,45137.546,Good,Field trials officer,Reeves and Massey,Discover,Graduate
HQ77306,Chennai,4879.23,31,Yes,Basic,25-09-2020,Retired,Female,355669,Urban,Married,240,33819,461,0.382,-7.097,5751,45,26,0,2,12,Personal,Average,Offer 3,Call Center,96880.739,Satisfactory,Journalist,Lawson-Cook,Mastercard,PhD
IM11934,Bengaluru,1513.71,45,Yes,Extended,12-01-2019,Employed,Female,147165,Rural,Divorced,218,23748,3604,0.43,-2.395,5020,37,60,1,5,5,Personal,Excellent,Offer 1,Agent,77712.681,Excellent,Education officer,Salinas Inc,Diners Club / Carte Blanche,Grade XII
OL82126,Pune,6373.87,40,Yes,Extended,09-10-2018,Retired,Male,469709,Suburban,Married,102,31559,8374,0.086,7.154,8791,16,23,2,5,8,Personal,Excellent,Offer 1,Online,58078.582,Good,Academic librarian,Gray and Choi,JCB 15 digit,Grade XII
OP57631,Bhopal,4106.4,33,No,Basic,29-11-2018,Retired,Female,368685,Suburban,Widowed,181,18525,8907,0.404,-1.648,2123,3,39,2,4,9,Special,Excellent,Offer 3,Branch,62865.529,Horrible,Teacher,Mitchell PLC,VISA 16 digit,Master
QK29474,Pune,6621.35,36,No,Premium,10-07-2019,Employed,Female,492632,Urban,Married,215,6405,3553,0.878,0.652,2629,3,6,2,5,6,Personal,Bad,Offer 3,Agent,84216.04,Satisfactory,Journalist,Conley-Kim,VISA 16 digit,Diploma
QZ18396,Delhi,9204.65,49,Yes,Basic,20-07-2018,Unemployed,Female,146189,Rural,Widowed,28,49837,3654,0.545,1.085,5486,42,53,1,9,15,Personal,Good,Offer 1,Branch,76958.832,Average,Medical illustrator,Nelson Inc,American Express,Grade X
RZ80992,Kolkata,8858.44,50,Yes,Premium,10-10-2019,On leave,Male,167309,Suburban,Widowed,110,27271,120,0.784,3.62,5697,12,49,0,1,8,Corporate,Average,Offer 4,Online,73552.183,Satisfactory,Advertising account executive,French-Rodriguez,VISA 19 digit,Grade X
TW78027,Bengaluru,9963.99,33,Yes,Basic,02-11-2020,Retired,Female,141897,Suburban,Widowed,55,29064,788,0.446,-2.66,8258,29,52,0,5,18,Privileged,Excellent,Offer 1,Other,43243.5,Not Given,Barrister,Sanchez-Miller,JCB 16 digit,Graduate
VW32246,Chennai,7834.3,47,Yes,Extended,22-11-2019,On leave,Male,282098,Suburban,Married,165,19325,3298,0.979,4.501,9063,33,15,1,9,4,Privileged,Average,Offer 1,Call Center,99236.614,Excellent,Bookseller,Calderon-Murray,VISA 19 digit,Grade XII
XQ11733,Pune,3743.95,26,Yes,Premium,02-02-2020,On leave,Male,42152,Suburban,Single,203,14965,6674,0.888,7.892,5139,4,82,2,7,3,Privileged,Average,Offer 4,Other,83343.343,Good,Metallurgist,Morgan and Sons,Mastercard,PhD
XX38386,Indore,2383.73,35,No,Extended,15-07-2020,Employed,Male,463188,Urban,Married,154,30297,3002,0.627,9.414,932,37,87,0,0,18,Personal,Bad,Offer 3,Online,78462.142,Satisfactory,Geophysicist/field seismologist,Payne-Lopez,Mastercard,Grade X
XY38083,Indore,2137.33,32,No,Premium,27-04-2019,On leave,Female,370312,Suburban,Single,185,49291,5310,0.692,-7.171,9052,6,54,2,1,17,Privileged,Bad,Offer 4,Branch,13352.505,Average,Copywriter,Mccormick-Morrison,JCB 16 digit,Grade XII
YI56419,Kolkata,3332.84,42,No,Extended,19-12-2019,Unemployed,Female,40763,Urban,Single,85,44867,1051,0.296,1.623,7166,38,45,0,4,12,Corporate,Bad,Offer 3,Branch,46128.385,Satisfactory,Archivist,Reynolds-Hensley,JCB 15 digit,Graduate
YQ59752,Hyderabad,9998.96,47,Yes,Premium,04-07-2020,Employed,Male,237217,Suburban,Widowed,246,46203,7178,0.145,-4.533,7226,37,79,1,9,14,Personal,Good,Offer 2,Agent,68103.352,Horrible,Programme researcher,Waller and Blackburn,VISA 16 digit,Grade XII
ZE93834,Bhopal,2522.21,46,Yes,Premium,04-12-2019,Retired,Female,257069,Rural,Widowed,137,46597,2905,0.968,3.856,4873,40,51,0,3,17,Personal,Average,Offer 4,Online,14618.752,Bad,Diplomatic Services operational officer,Munoz and Green,VISA 16 digit,Grade X
ZJ74371,Bengaluru,3622.96,26,No,Extended,14-09-2020,Retired,Female,436363,Rural,Widowed,229,44937,346,0.887,7.341,3027,18,58,0,8,3,Personal,Excellent,Offer 4,Agent,15824.131,Good,Pension scheme manager,Hamilton-Anderson,Diners Club / Carte Blanche,Grade XII
EX47142,Pune,2234.12,50,Yes,Basic,21-10-2020,Unemployed,Female,90053,Rural,Widowed,136,31942,5733,0.937,-1.301,4509,19,56,0,0,11,Personal,Average,Offer 3,Other,71575.556,Satisfactory,Hydrogeologist,Clark PLC,VISA 19 digit,PhD
FF10208,Mumbai,6683.11,37,Yes,Premium,04-04-2019,Retired,Female,256062,Urban,Divorced,41,43576,5104,0.163,-3.958,3334,24,89,2,5,6,Privileged,Excellent,Offer 1,Branch,86238.693,Good,Publishing rights manager,Glover and Rodriguez,VISA 16 digit,PhD
FH16026,Kolkata,1445.14,39,No,Extended,09-12-2020,Retired,Female,385674,Urban,Divorced,198,5002,3860,0.441,-0.857,5197,5,53,0,1,11,Special,Bad,Offer 1,Call Center,73451.221,Not Given,Geophysicist/field seismologist,Clark and Sons,JCB 15 digit,Diploma
HU18578,Mumbai,4709.01,33,Yes,Basic,17-05-2020,Employed,Male,326857,Urban,Divorced,210,26017,6873,0.78,-0.442,2528,38,29,1,8,14,Special,Excellent,Offer 3,Call Center,36315.647,Good,Chiropodist,Garcia Inc,Diners Club / Carte Blanche,Grade XII
IL31069,Indore,1809.53,40,Yes,Basic,27-09-2018,Employed,Female,472911,Suburban,Single,35,35798,7702,0.021,4.911,8851,1,76,0,8,18,Privileged,Average,Offer 4,Agent,76162.906,Good,Glass blower/designer,Hall-Myers,American Express,Grade XII
JH37298,Delhi,6028.08,49,No,Basic,21-10-2019,On leave,Female,26377,Suburban,Single,88,14345,3853,0.208,2.443,9360,1,70,2,5,3,Corporate,Excellent,Offer 1,Agent,53862.872,Bad,Actor,Campbell and Meyers,VISA 13 digit,Graduate
KI96430,Bengaluru,7131.36,26,No,Extended,26-02-2019,Retired,Female,209786,Suburban,Divorced,223,22292,2044,0.231,5.325,2254,27,43,1,4,13,Personal,Bad,Offer 2,Agent,38753.24,Not Given,Gaffer,Hart and Hughes,VISA 16 digit,PhD
NH58636,Indore,3434.78,45,Yes,Basic,25-11-2019,Unemployed,Male,284054,Suburban,Single,55,16669,1457,0.796,-4.968,7816,23,28,0,7,3,Personal,Average,Offer 2,Agent,41118.849,Satisfactory,Systems developer,Beck and Kelly,VISA 13 digit,PhD
NN21904,Indore,4207.82,36,No,Premium,30-05-2020,Unemployed,Male,422295,Rural,Widowed,138,14482,2685,0.086,-0.551,1173,42,32,1,2,14,Corporate,Good,Offer 1,Call Center,74797.374,Excellent,Computer games developer,Morrison LLC,VISA 13 digit,PhD
OL32639,Mumbai,1308.12,38,No,Basic,24-07-2020,Unemployed,Male,492008,Suburban,Widowed,59,24935,3921,0.807,-6.137,8400,29,33,1,0,8,Privileged,Good,Offer 4,Agent,76016.794,Horrible,Warehouse manager,Maddox-Morrow,VISA 16 digit,Grade X
QT41801,Pune,4591.73,50,Yes,Premium,04-06-2018,Unemployed,Female,15839,Rural,Married,34,16233,8713,0.551,1.979,53,44,3,0,2,11,Privileged,Excellent,Offer 4,Call Center,14229.012,Good,Automotive engineer,Farley-Herring,VISA 13 digit,PhD
RA86950,Indore,3019.81,40,No,Premium,17-02-2019,Unemployed,Male,104415,Suburban,Married,90,8734,3397,0.577,0.226,8488,47,90,1,4,9,Privileged,Bad,Offer 4,Online,88174.283,Horrible,Conservation officer,Wagner and Burton,Mastercard,Grade XII
RT14773,Pune,6866.44,38,Yes,Extended,03-06-2018,Retired,Female,66103,Suburban,Divorced,176,23702,1711,0.991,4.796,9402,34,25,1,0,4,Personal,Good,Offer 3,Agent,71586.291,Horrible,Fitness centre manager,Brown and Brown,American Express,Grade XII
VX47937,Pune,8846.5,29,Yes,Basic,09-06-2020,On leave,Male,419428,Urban,Widowed,163,14200,7080,0.731,2.42,9456,9,79,1,4,14,Privileged,Bad,Offer 3,Branch,72233.178,Excellent,Arts development officer,Green and Levine,JCB 15 digit,Graduate
YR10761,Hyderabad,6113.17,37,No,Basic,01-06-2020,Unemployed,Male,22580,Rural,Divorced,106,21974,4388,0.066,-6.683,2619,4,70,2,0,17,Special,Average,Offer 3,Other,26311.611,Good,Air broker,Harvey-Schmidt,American Express,Grade XII
AP67209,Chennai,4262.59,26,Yes,Extended,07-10-2019,Employed,Male,258546,Rural,Single,62,7808,5442,0.912,7.616,5246,36,75,2,7,8,Personal,Excellent,Offer 2,Branch,33095.561,Not Given,Audiological scientist,Mcdonald and Adams,VISA 16 digit,Master
BV30463,Delhi,2129.18,44,No,Extended,20-10-2018,Employed,Female,196160,Suburban,Widowed,36,30493,1159,0.044,0.116,3192,0,95,0,7,12,Privileged,Average,Offer 4,Call Center,72495.818,Bad,Surveyor,Richards PLC,JCB 16 digit,Master
CG24136,Bengaluru,1015.07,28,Yes,Extended,25-11-2019,Unemployed,Female,334864,Urban,Widowed,250,48925,570,0.218,-7.231,7804,7,75,0,3,16,Privileged,Average,Offer 1,Online,42225.314,Horrible,Structural engineer,Thomas and Barnes,JCB 15 digit,Master
FX44723,Hyderabad,7231.8,37,Yes,Basic,14-02-2019,On leave,Male,157177,Urban,Divorced,169,35778,8504,0.856,-3.502,805,42,77,2,4,13,Corporate,Good,Offer 4,Agent,41413.227,Average,Engineer,Gardner-Murphy,Maestro,Grade X
GP91331,Bengaluru,1060.66,32,Yes,Basic,16-02-2020,Unemployed,Female,78272,Rural,Single,196,32280,7545,0.28,9.88,8534,33,33,0,2,9,Special,Average,Offer 3,Other,82885.663,Good,Automotive engineer,Conrad and Boyle,JCB 15 digit,Grade XII
ID14272,Hyderabad,6577.28,39,Yes,Premium,13-10-2018,Retired,Female,279189,Urban,Divorced,136,19692,212,0.371,0.368,4928,48,64,0,3,11,Corporate,Average,Offer 2,Agent,97907.438,Satisfactory,Camera operator,Schmidt-Campbell,JCB 16 digit,Grade XII
IO30513,Kolkata,2898.65,41,No,Premium,01-08-2020,Unemployed,Female,249394,Suburban,Widowed,188,19118,9255,0.894,6.249,6394,31,19,2,0,18,Personal,Excellent,Offer 4,Call Center,41298.793,Average,Adult nurse,Chan Ltd,JCB 15 digit,Diploma
KF50039,Bengaluru,5126.02,46,Yes,Basic,01-03-2020,Employed,Male,174977,Urban,Married,224,27203,1027,0.827,0.143,8622,38,81,0,7,7,Special,Average,Offer 4,Branch,84944.068,Horrible,Press photographer,Marshall and Sons,Maestro,Diploma
KH37686,Bengaluru,7371.61,33,No,Basic,24-12-2020,Employed,Male,13069,Rural,Single,99,6474,3214,0.451,-1.35,1841,22,49,1,8,10,Personal,Average,Offer 4,Branch,16694.494,Not Given,Armed forces training and education officer,Garcia Inc,VISA 19 digit,Master
LF42490,Indore,5180.72,42,Yes,Premium,31-05-2019,On leave,Female,88278,Suburban,Single,103,29975,4215,0.754,-5.427,3849,5,40,1,8,8,Personal,Bad,Offer 3,Other,73968.631,Satisfactory,Designer,Barnes and Sons,Discover,PhD
NP35855,Mumbai,7405.28,28,No,Extended,14-02-2019,Unemployed,Female,273487,Rural,Divorced,181,42270,7566,0.085,4.824,8387,33,75,1,3,4,Corporate,Average,Offer 1,Agent,93737.598,Satisfactory,Sports development officer,Sanchez and Johnson,VISA 16 digit,PhD
QM13149,Delhi,5136.43,30,Yes,Extended,22-11-2018,Retired,Female,403701,Urban,Widowed,31,19757,8861,0.332,-9.001,871,38,54,0,9,5,Personal,Average,Offer 3,Other,59314.662,Bad,Engineer,Young-Alexander,American Express,Master
SF34776,Kolkata,4680.94,49,Yes,Extended,17-08-2018,Employed,Male,319823,Rural,Widowed,45,27710,8354,0.673,-7.354,5103,41,32,2,5,13,Personal,Good,Offer 4,Call Center,81351.503,Satisfactory,Translator,Flowers Group,VISA 13 digit,Master
TR91567,Kolkata,7704.49,31,Yes,Premium,18-01-2020,On leave,Male,440535,Urban,Married,179,37590,8177,0.802,-3.381,7455,4,6,2,8,4,Special,Excellent,Offer 2,Other,51165.848,Excellent,Materials engineer,Lopez Inc,JCB 15 digit,Diploma
XM11562,Hyderabad,5658.09,48,Yes,Extended,25-12-2018,Unemployed,Female,367669,Urban,Single,186,7525,3646,0.327,-7.084,357,1,6,0,8,15,Personal,Excellent,Offer 4,Other,23961.108,Average,Engineer,Stephens and Sons,VISA 13 digit,Diploma
XW60601,Kolkata,6870.86,33,Yes,Extended,24-09-2018,Unemployed,Male,453494,Urban,Single,213,42833,1186,0.244,-9.497,6892,46,90,1,8,11,Corporate,Excellent,Offer 4,Online,92047.626,Bad,Research scientist (physical sciences),Vasquez and Valdez,JCB 16 digit,Master
ZS30011,Kolkata,6590.47,36,No,Extended,11-03-2019,Employed,Male,155378,Suburban,Divorced,91,7391,3426,0.43,2.789,8131,37,26,1,1,13,Personal,Bad,Offer 3,Other,80172.558,Satisfactory,Surveyor,Torres and Green,VISA 19 digit,Graduate
AY92409,Bengaluru,3452.18,47,No,Premium,15-02-2019,On leave,Female,444493,Rural,Widowed,71,34590,825,0.301,-2.333,757,24,42,0,3,12,Special,Average,Offer 3,Call Center,90522.889,Good,Translator,Wells and Sons,VISA 16 digit,Diploma
BW47170,Hyderabad,7907.46,35,Yes,Extended,20-01-2019,Employed,Male,238588,Rural,Married,25,17395,7394,0.944,9.688,4020,4,44,2,6,5,Privileged,Average,Offer 1,Agent,20057.134,Good,Psychotherapist,Green Ltd,VISA 19 digit,Grade X
CD46023,Bengaluru,5861.66,27,Yes,Basic,26-07-2018,Unemployed,Male,127831,Rural,Divorced,163,10417,9586,0.043,2.946,7330,37,29,0,1,6,Personal,Bad,Offer 2,Online,70755.428,Satisfactory,Careers information officer,Washington and Gonzalez,Discover,Graduate
DS33745,Bengaluru,7839.07,42,No,Extended,04-05-2019,Retired,Female,370575,Rural,Widowed,163,15359,2928,0.981,-0.184,3461,29,57,0,8,17,Personal,Good,Offer 3,Other,31592.416,Excellent,Pathologist,Garcia and White,JCB 16 digit,Diploma
EK93554,Bengaluru,4775.51,26,Yes,Premium,12-11-2018,Employed,Male,443065,Urban,Married,53,42558,5023,0.679,-7.25,6848,10,24,2,2,6,Special,Average,Offer 3,Other,54532.629,Horrible,Early years teacher,Cannon-Nguyen,Maestro,PhD
EP52791,Pune,5899.59,34,No,Basic,16-08-2019,Retired,Male,41329,Suburban,Single,51,5800,1623,0.563,2.973,3018,5,15,0,8,5,Privileged,Average,Offer 1,Call Center,19497.036,Good,Youth worker,Bass and Green,VISA 16 digit,Diploma
FW42529,Hyderabad,3720.63,26,Yes,Basic,27-06-2018,Employed,Male,205718,Urban,Single,187,41099,6984,0.305,2.171,967,4,62,2,2,6,Special,Average,Offer 4,Branch,72832.511,Satisfactory,Therapist,Berry and Wood,Discover,PhD
GC59171,Indore,8094.95,27,No,Premium,07-06-2020,Retired,Female,399996,Urban,Married,201,34623,9417,0.394,9.863,9395,1,86,2,3,11,Privileged,Excellent,Offer 2,Online,53695.925,Satisfactory,Records manager,Peterson and Lambert,Mastercard,Graduate
HN52875,Indore,7842.01,45,Yes,Extended,02-05-2020,Retired,Female,17167,Urban,Married,115,7330,1090,0.919,6.462,4536,23,61,2,4,18,Privileged,Average,Offer 2,Call Center,18565.401,Average,Patent attorney,Oneill Inc,Mastercard,Grade XII
HW78198,Delhi,5114.91,33,No,Premium,07-02-2019,On leave,Male,487041,Rural,Single,27,9738,3015,0.424,-9.833,3080,22,74,2,6,17,Privileged,Excellent,Offer 4,Call Center,97227.63,Satisfactory,Museum/gallery curator,Smith and Pena,VISA 13 digit,Diploma
IM27025,Bhopal,1285.49,41,Yes,Extended,03-09-2018,Unemployed,Male,255173,Rural,Divorced,69,9111,3401,0.688,9.497,665,24,2,2,9,3,Privileged,Bad,Offer 1,Call Center,30098.544,Excellent,Research officer,Arnold-Ford,VISA 16 digit,Grade XII
LO28546,Hyderabad,4837.6,35,No,Extended,16-12-2019,On leave,Male,491869,Urban,Single,171,12805,6814,0.086,-4.575,4706,38,15,1,8,16,Personal,Average,Offer 2,Call Center,78996.216,Not Given,Community education officer,Brown-Rodriguez,VISA 13 digit,Graduate
NG87723,Hyderabad,2427.29,47,No,Basic,19-09-2020,Unemployed,Female,426158,Urban,Married,88,26375,4311,0.345,4.571,4617,13,65,0,1,7,Corporate,Excellent,Offer 1,Agent,51431.087,Good,Surveyor,Reed-Sullivan,VISA 16 digit,Grade XII
OM52855,Bengaluru,5905.82,35,No,Premium,07-04-2020,Retired,Female,81988,Urban,Married,117,7665,2066,0.639,-1.55,1056,19,88,2,8,13,Corporate,Bad,Offer 1,Agent,41526.77,Satisfactory,Health visitor,Manning PLC,JCB 16 digit,PhD
OZ73179,Delhi,9046.76,40,Yes,Premium,09-01-2019,On leave,Female,131827,Suburban,Married,45,29914,389,0.285,3.106,6785,30,9,1,1,4,Personal,Good,Offer 4,Agent,59051.953,Not Given,Forest/woodland manager,Williams PLC,JCB 16 digit,Graduate
PN17572,Indore,2080.48,36,No,Basic,30-03-2020,Employed,Male,468900,Rural,Married,140,23409,435,0.724,8.895,6083,14,10,0,9,12,Special,Good,Offer 2,Branch,76050.54,Bad,Clinical research associate,Conrad Group,VISA 16 digit,PhD
